heart_rate,light,stress_score,stress_category
145,921,84.1,High Stress
119,1417,66.3,Moderate Stress
91,1712,48.1,Mild Stress
84,2574,41.0,Normal
99,2194,38.0,Mild Stress
93,2068,39.9,Mild Stress
116,816,70.9,Moderate Stress
111,1083,65.6,Moderate Stress
113,1301,64.4,Moderate Stress
117,1134,63.3,Moderate Stress
97,1762,51.1,Mild Stress
96,1291,54.5,Moderate Stress
60,3229,12.1,Relaxed
78,2666,31.0,Mild Stress
117,956,65.5,Moderate Stress
111,697,66.5,Moderate Stress
104,1377,59.5,Moderate Stress
128,1780,64.2,Moderate Stress
127,768,81.8,High Stress
73,2804,22.1,Normal
102,1089,58.1,Moderate Stress
96,1967,48.1,Mild Stress
77,2869,29.9,Normal
138,688,81.8,High Stress
69,2933,16.2,Normal
142,425,86.9,High Stress
134,122,86.2,High Stress
111,570,67.1,Moderate Stress
79,2413,34.8,Normal
88,2003,45.3,Mild Stress
95,2122,42.5,Mild Stress
73,2568,28.6,Normal
63,3262,9.7,Relaxed
109,1209,64.4,Moderate Stress
75,2418,30.6,Normal
60,3380,15.5,Relaxed
81,2976,26.6,Normal
78,3473,17.4,Normal
109,1317,61.8,Moderate Stress
124,833,78.3,High Stress
62,2750,20.4,Relaxed
92,2239,41.4,Mild Stress
107,1154,54.0,Moderate Stress
64,3466,12.5,Relaxed
123,328,75.3,High Stress
112,1291,62.5,Moderate Stress
90,2307,38.9,Mild Stress
105,1270,51.3,Moderate Stress
85,2996,29.0,Normal
105,1437,62.3,Moderate Stress
76,2502,22.5,Normal
116,2012,58.9,Moderate Stress
65,3324,12.1,Relaxed
78,2015,32.5,Normal
105,1704,53.3,Moderate Stress
66,2647,15.8,Normal
91,1952,37.3,Mild Stress
90,1558,49.6,Mild Stress
67,3558,10.2,Relaxed
74,2507,34.0,Normal
135,1102,73.4,High Stress
82,3029,26.3,Normal
111,720,61.9,High Stress
80,2992,34.0,Normal
132,238,81.7,High Stress
76,2924,32.0,Normal
92,2546,44.1,Normal
123,650,76.5,High Stress
105,1362,60.2,Moderate Stress
69,2901,20.5,Relaxed
114,857,72.4,Moderate Stress
145,651,81.1,High Stress
79,2348,30.7,Normal
59,3231,19.1,Relaxed
148,441,85.4,High Stress
62,2922,21.3,Relaxed
142,399,85.8,High Stress
62,2771,23.0,Relaxed
106,1036,59.9,Mild Stress
96,2011,44.9,Mild Stress
68,2825,21.5,Normal
76,2698,23.2,Normal
138,623,86.6,High Stress
109,1383,65.4,Moderate Stress
121,839,74.3,High Stress
80,2483,34.0,Normal
93,1755,45.5,Mild Stress
99,2560,42.4,Mild Stress
79,2274,33.0,Normal
74,2329,37.7,Normal
59,3551,16.3,Relaxed
144,227,88.9,High Stress
64,3008,20.6,Relaxed
108,1695,60.3,Moderate Stress
101,1869,52.9,Mild Stress
131,571,81.0,High Stress
107,1350,57.9,Moderate Stress
147,633,83.8,High Stress
65,3199,15.7,Relaxed
92,1106,45.3,Mild Stress
60,3925,8.8,Relaxed
114,1286,60.2,Moderate Stress
114,752,74.6,Moderate Stress
77,2870,21.4,Normal
151,178,98.3,High Stress
62,3647,8.5,Relaxed
64,3565,14.5,Relaxed
62,3723,4.3,Relaxed
137,643,80.5,High Stress
70,2504,31.6,Mild Stress
82,2290,31.3,Normal
95,1563,49.5,Mild Stress
83,1800,31.6,Normal
83,2662,38.4,Normal
66,2275,29.5,Relaxed
132,375,74.7,High Stress
80,2204,36.9,Normal
142,469,85.1,High Stress
71,2766,30.6,Normal
141,712,82.5,High Stress
98,2310,41.4,Mild Stress
122,523,77.2,High Stress
136,233,77.0,High Stress
93,1330,52.2,Mild Stress
70,3340,13.1,Relaxed
106,1171,58.3,Moderate Stress
63,3226,15.9,Relaxed
121,1114,62.4,Moderate Stress
95,1591,53.2,Mild Stress
87,1868,44.8,Mild Stress
141,984,81.4,High Stress
105,1302,61.3,Moderate Stress
136,772,81.7,High Stress
64,3681,16.9,Relaxed
131,331,85.9,High Stress
74,2663,23.0,Normal
109,1568,60.4,Moderate Stress
132,897,78.7,High Stress
77,2368,30.0,Normal
89,2022,42.1,Mild Stress
79,2345,40.2,Normal
78,1816,34.9,Mild Stress
72,3128,19.5,Normal
84,2197,33.0,Normal
71,3120,21.6,Relaxed
104,1351,58.2,Mild Stress
114,1339,60.5,Moderate Stress
85,2981,31.5,Normal
132,209,81.2,High Stress
85,2824,32.8,Normal
132,669,85.1,High Stress
131,991,70.2,High Stress
62,3280,19.4,Relaxed
131,688,76.0,High Stress
133,650,78.2,High Stress
87,2003,44.4,Mild Stress
136,517,77.9,High Stress
100,1967,52.3,Mild Stress
131,665,71.2,High Stress
91,2281,43.7,Mild Stress
81,2559,32.0,Normal
110,1161,62.7,Moderate Stress
59,3537,11.2,Relaxed
96,1213,60.2,Mild Stress
69,2626,33.7,Normal
83,2977,26.8,Normal
103,852,58.3,Moderate Stress
106,619,59.0,Moderate Stress
62,3030,13.4,Relaxed
77,2686,27.9,Normal
60,3151,11.4,Relaxed
119,752,65.1,High Stress
118,396,73.3,Moderate Stress
74,3350,18.2,Normal
70,2924,23.7,Normal
113,742,66.8,Moderate Stress
96,1825,51.9,Mild Stress
57,2734,17.4,Relaxed
79,2468,40.6,Normal
108,1257,68.2,Moderate Stress
94,1328,45.0,Mild Stress
106,1132,62.8,Moderate Stress
105,637,65.4,Moderate Stress
139,782,90.3,High Stress
130,812,72.0,High Stress
106,810,61.3,Moderate Stress
113,1478,60.1,Moderate Stress
84,2304,37.2,Mild Stress
88,1963,45.3,Mild Stress
105,1496,54.2,Moderate Stress
69,2822,29.3,Relaxed
64,3777,15.7,Relaxed
80,3171,20.4,Normal
140,395,84.3,High Stress
113,1044,62.7,Moderate Stress
74,2444,23.6,Normal
112,1222,58.5,Moderate Stress
56,3816,3.9,Relaxed
89,1453,44.2,Mild Stress
118,953,69.8,High Stress
74,3146,24.4,Relaxed
99,2351,47.9,Mild Stress
111,1297,55.7,Moderate Stress
85,1681,39.9,Mild Stress
104,1371,59.4,Moderate Stress
81,2362,26.8,Normal
105,1148,60.8,Moderate Stress
72,2942,22.7,Normal
70,2678,22.1,Relaxed
69,1864,31.4,Normal
90,1841,36.2,Mild Stress
97,1897,48.1,Mild Stress
97,1145,52.9,Moderate Stress
61,3591,10.5,Relaxed
106,1751,52.0,Mild Stress
75,2586,34.5,Normal
106,980,56.8,Moderate Stress
87,1887,37.2,Mild Stress
113,750,63.4,Moderate Stress
86,2055,43.9,Mild Stress
93,2224,43.2,Mild Stress
84,2261,30.9,Mild Stress
90,1809,44.4,Mild Stress
132,643,85.5,High Stress
135,842,83.5,High Stress
75,3585,15.0,Normal
87,1920,43.1,Mild Stress
78,2748,25.9,Normal
105,1076,65.6,Moderate Stress
135,663,88.7,High Stress
70,2126,26.4,Normal
60,2834,20.3,Relaxed
74,2729,27.3,Normal
133,730,73.8,High Stress
80,2728,29.5,Normal
132,820,81.3,High Stress
63,3460,17.9,Relaxed
84,1731,44.6,Mild Stress
128,95,80.3,High Stress
93,1666,48.0,Mild Stress
95,900,44.7,Moderate Stress
76,3406,25.3,Normal
88,1885,36.6,Mild Stress
111,918,56.9,Moderate Stress
91,1782,42.4,Mild Stress
61,2610,22.5,Relaxed
66,3061,23.5,Relaxed
56,3461,4.4,Relaxed
74,3706,13.4,Normal
63,3601,4.8,Relaxed
131,402,76.9,High Stress
54,3330,7.3,Relaxed
74,2149,29.4,Normal
61,3367,17.9,Relaxed
82,2525,28.6,Normal
80,2834,29.6,Normal
137,1055,74.1,High Stress
116,1492,73.0,Moderate Stress
85,1616,38.3,Mild Stress
77,2451,28.5,Normal
64,3751,2.1,Relaxed
74,2248,25.5,Normal
129,515,81.6,High Stress
74,2705,34.1,Normal
91,1840,35.9,Mild Stress
123,545,79.0,High Stress
59,3457,11.9,Relaxed
78,2945,23.9,Normal
73,2865,27.1,Normal
71,3256,21.1,Relaxed
59,3668,17.5,Relaxed
81,1928,37.2,Normal
117,1226,67.4,Moderate Stress
75,2101,34.8,Normal
128,616,79.1,High Stress
63,2870,13.9,Relaxed
60,2675,16.4,Relaxed
122,810,68.2,High Stress
92,2386,34.4,Mild Stress
91,1365,44.3,Mild Stress
81,2315,32.9,Normal
93,2290,37.4,Mild Stress
69,3561,14.7,Relaxed
106,1391,55.4,Moderate Stress
100,2144,48.9,Mild Stress
102,1804,54.9,Mild Stress
80,2296,36.9,Normal
63,2315,30.5,Normal
75,2237,27.5,Normal
78,2299,28.5,Normal
63,2833,20.4,Relaxed
129,256,83.7,High Stress
104,1283,56.4,Moderate Stress
140,641,75.7,High Stress
92,1471,50.6,Mild Stress
82,2849,31.5,Normal
95,1176,58.0,Mild Stress
93,1733,42.4,Mild Stress
127,857,69.9,High Stress
95,2044,44.1,Mild Stress
146,610,84.0,High Stress
108,1520,55.6,Moderate Stress
59,3180,16.1,Relaxed
80,3566,18.9,Normal
64,3758,11.4,Relaxed
105,919,56.4,Moderate Stress
110,1681,53.2,Moderate Stress
75,2506,32.6,Normal
95,1617,43.0,Mild Stress
110,1224,68.3,Moderate Stress
125,302,80.7,High Stress
111,791,63.8,Moderate Stress
79,2693,33.7,Normal
105,1174,64.6,Moderate Stress
87,3032,32.1,Mild Stress
142,686,78.7,High Stress
61,3366,13.9,Relaxed
68,3608,16.0,Relaxed
88,1429,49.6,Mild Stress
139,729,80.6,High Stress
115,426,72.3,Moderate Stress
67,3298,18.9,Relaxed
62,4095,12.9,Relaxed
86,1368,47.9,Mild Stress
66,2627,35.7,Normal
117,1021,67.1,Moderate Stress
61,3642,8.5,Relaxed
112,1155,67.4,Moderate Stress
73,2437,23.0,Normal
134,194,79.4,High Stress
88,2272,40.4,Mild Stress
79,2481,33.7,Normal
96,1929,51.4,Mild Stress
121,1338,65.7,Moderate Stress
134,632,80.5,High Stress
106,709,55.3,Moderate Stress
115,1640,58.2,Moderate Stress
76,2973,23.3,Normal
68,3365,12.7,Relaxed
99,1503,51.6,Mild Stress
106,1281,58.6,Moderate Stress
88,3097,17.9,Normal
97,1485,57.5,Mild Stress
73,2503,32.0,Normal
61,3086,20.5,Relaxed
59,3694,8.0,Relaxed
145,291,89.9,High Stress
132,825,77.2,High Stress
130,527,79.7,High Stress
88,1128,52.3,Mild Stress
123,827,65.3,High Stress
59,3472,8.1,Relaxed
68,3110,16.8,Relaxed
80,2545,30.4,Normal
63,3439,13.5,Relaxed
106,791,68.8,Moderate Stress
108,1579,53.8,Moderate Stress
126,865,80.8,High Stress
152,613,90.9,High Stress
145,497,95.1,High Stress
129,529,74.3,High Stress
56,3151,12.0,Relaxed
129,921,73.9,High Stress
56,3582,12.3,Relaxed
59,3426,14.6,Relaxed
114,1387,62.6,Moderate Stress
111,1349,56.2,Moderate Stress
63,3518,1.4,Relaxed
76,2598,30.0,Normal
76,2778,27.7,Normal
91,1303,52.2,Mild Stress
128,506,79.7,High Stress
137,466,85.3,High Stress
55,3092,13.1,Relaxed
116,390,73.7,High Stress
130,0,79.8,High Stress
112,820,61.0,Moderate Stress
102,820,66.1,Moderate Stress
125,514,69.9,High Stress
86,1782,48.4,Mild Stress
59,3536,15.6,Relaxed
151,382,89.6,High Stress
99,379,59.8,Moderate Stress
145,753,82.8,High Stress
84,3196,28.3,Normal
68,3350,12.8,Relaxed
134,761,72.5,High Stress
109,893,68.4,Moderate Stress
133,295,75.4,High Stress
130,719,77.8,High Stress
134,551,73.9,High Stress
84,2460,29.5,Normal
67,3388,15.4,Relaxed
62,2374,29.2,Relaxed
64,3045,23.4,Relaxed
63,3514,16.9,Relaxed
85,2223,37.1,Normal
127,1021,71.9,High Stress
109,1120,62.4,Moderate Stress
77,3138,24.0,Normal
55,2901,17.9,Relaxed
70,3356,13.2,Relaxed
139,789,80.2,High Stress
76,2753,23.1,Normal
81,2233,35.5,Normal
109,1159,58.4,Moderate Stress
75,3224,22.0,Normal
80,2543,19.8,Normal
62,3240,15.3,Relaxed
91,2412,39.6,Normal
74,2658,35.9,Normal
63,3446,11.1,Relaxed
68,2975,25.0,Relaxed
114,1055,62.6,Moderate Stress
60,3606,11.4,Relaxed
94,1245,51.5,Mild Stress
49,3327,8.6,Relaxed
125,1073,72.2,High Stress
91,1454,49.1,Mild Stress
128,829,75.2,High Stress
58,3287,9.0,Relaxed
92,1261,45.3,Mild Stress
92,1635,45.8,Mild Stress
101,1245,56.7,Moderate Stress
64,3515,22.5,Relaxed
78,3245,25.2,Normal
82,3036,30.6,Normal
101,1446,55.4,Moderate Stress
136,1027,80.1,High Stress
62,3001,17.1,Relaxed
107,977,60.6,Moderate Stress
95,1821,37.7,Mild Stress
69,3286,22.2,Relaxed
108,926,60.3,Moderate Stress
117,1486,63.0,Moderate Stress
69,3305,25.7,Relaxed
108,812,59.7,Moderate Stress
103,1111,52.8,Moderate Stress
127,757,69.7,High Stress
135,682,74.5,High Stress
111,1069,58.0,Moderate Stress
74,3065,25.0,Normal
137,529,79.7,High Stress
64,3607,12.8,Relaxed
122,1480,63.7,Moderate Stress
61,2672,20.4,Relaxed
74,2970,24.1,Normal
83,2834,27.6,Normal
61,3613,12.4,Relaxed
80,2227,33.5,Normal
91,2147,42.9,Mild Stress
101,939,60.5,Moderate Stress
78,2494,35.5,Normal
131,585,74.6,High Stress
108,1609,52.8,Moderate Stress
62,3388,11.5,Relaxed
85,1589,42.7,Normal
103,796,62.1,Moderate Stress
56,3658,4.6,Relaxed
67,3535,15.6,Relaxed
86,2000,36.5,Mild Stress
65,3690,16.0,Relaxed
90,2550,40.6,Mild Stress
75,2602,27.8,Normal
147,395,92.1,High Stress
72,2532,23.7,Normal
106,1119,55.5,Moderate Stress
100,1173,60.7,Moderate Stress
64,2838,13.7,Relaxed
72,2134,31.6,Normal
74,2991,23.6,Normal
63,3372,12.0,Relaxed
57,2857,7.7,Relaxed
136,365,90.0,High Stress
58,2789,22.1,Relaxed
95,1697,47.5,Mild Stress
92,2125,42.4,Mild Stress
85,2469,37.5,Normal
64,3275,17.5,Relaxed
82,1537,44.8,Mild Stress
69,3918,10.7,Relaxed
57,3478,12.5,Relaxed
60,3834,5.1,Relaxed
95,2175,48.0,Mild Stress
91,1429,45.2,Mild Stress
61,2916,11.4,Relaxed
126,695,77.5,High Stress
73,2443,33.8,Normal
124,617,71.5,High Stress
61,2881,21.4,Relaxed
95,1629,49.3,Mild Stress
71,3249,16.7,Relaxed
140,686,78.4,High Stress
89,2057,34.7,Mild Stress
61,3074,9.0,Relaxed
114,526,71.0,High Stress
66,3083,24.2,Relaxed
130,830,74.1,High Stress
99,2235,36.9,Mild Stress
137,840,74.9,High Stress
91,1787,44.5,Mild Stress
59,2412,21.4,Relaxed
117,1305,54.8,Moderate Stress
