heart_rate,light,stress_score,stress_category
109,1436,59.4,Moderate Stress
67,3131,17.7,Relaxed
81,1868,36.0,Mild Stress
123,627,72.8,High Stress
56,3694,8.3,Relaxed
60,3657,11.0,Relaxed
134,712,72.9,High Stress
138,1063,79.9,High Stress
72,2607,21.7,Normal
74,2175,31.4,Normal
101,1704,54.2,Mild Stress
78,1870,29.1,Normal
72,1973,34.6,Normal
135,45,74.7,High Stress
139,227,87.8,High Stress
128,186,77.6,High Stress
79,2668,29.2,Normal
77,2871,26.8,Normal
92,1603,48.8,Mild Stress
63,3224,12.9,Relaxed
105,1124,60.4,Moderate Stress
104,1837,48.6,Mild Stress
58,4017,7.4,Relaxed
58,3140,19.3,Relaxed
75,2218,38.1,Normal
102,2941,41.4,Mild Stress
85,2394,27.5,Mild Stress
143,688,85.4,High Stress
74,2012,36.4,Normal
70,2930,22.7,Normal
96,1771,46.5,Mild Stress
101,2081,46.4,Mild Stress
94,1495,45.1,Mild Stress
63,3001,11.2,Relaxed
57,3723,8.9,Relaxed
77,2535,26.8,Normal
132,238,89.8,High Stress
63,4023,4.7,Relaxed
70,2897,25.9,Normal
117,1389,67.9,Moderate Stress
76,2266,36.1,Normal
91,1284,53.4,Mild Stress
98,658,64.2,Moderate Stress
68,2289,26.7,Normal
137,798,88.1,High Stress
128,477,70.7,High Stress
58,3175,20.1,Relaxed
67,3192,20.1,Normal
79,2378,29.5,Normal
111,1356,63.2,Moderate Stress
83,2547,33.5,Normal
120,1105,71.8,Moderate Stress
77,2466,37.3,Normal
63,3008,19.3,Relaxed
69,4095,7.6,Relaxed
95,1576,50.2,Mild Stress
93,1684,46.5,Mild Stress
91,1954,47.3,Mild Stress
112,740,71.7,Moderate Stress
62,3758,13.4,Relaxed
91,2014,42.0,Mild Stress
90,1457,45.7,Mild Stress
122,889,71.9,High Stress
72,2032,33.4,Normal
57,3862,8.8,Relaxed
52,3084,20.4,Relaxed
111,1427,48.3,Moderate Stress
64,2988,18.5,Normal
95,1642,47.4,Mild Stress
133,779,79.8,High Stress
132,1049,70.2,High Stress
84,1829,36.4,Mild Stress
65,3475,13.2,Relaxed
82,2441,32.1,Normal
110,1065,61.9,Moderate Stress
105,1064,52.3,Moderate Stress
85,1928,41.2,Mild Stress
114,1020,68.2,High Stress
83,2643,33.7,Normal
57,3420,6.6,Relaxed
78,2366,39.4,Normal
87,1695,48.2,Mild Stress
133,1210,65.2,High Stress
107,785,69.0,Moderate Stress
129,668,73.9,High Stress
115,1253,58.0,Moderate Stress
87,1797,45.9,Mild Stress
108,901,62.8,Moderate Stress
69,3317,20.2,Relaxed
51,3629,1.7,Relaxed
100,1530,52.7,Mild Stress
60,3138,11.5,Relaxed
144,373,92.3,High Stress
129,541,76.5,High Stress
120,835,73.2,Moderate Stress
63,3072,21.2,Relaxed
132,455,83.2,High Stress
75,2416,31.5,Normal
56,3623,11.3,Relaxed
67,3259,18.3,Relaxed
61,2743,12.1,Relaxed
60,3426,14.1,Relaxed
100,1066,60.1,Moderate Stress
68,2023,28.7,Normal
141,494,88.2,High Stress
134,561,88.9,High Stress
79,2566,27.1,Normal
92,1053,56.5,Mild Stress
121,1156,74.9,Moderate Stress
112,894,56.6,Moderate Stress
139,779,77.8,High Stress
108,1450,55.6,Moderate Stress
87,2266,36.1,Mild Stress
98,2592,43.4,Mild Stress
110,1058,61.9,Moderate Stress
108,842,65.7,Moderate Stress
81,2106,31.5,Normal
61,3433,19.4,Relaxed
123,523,80.9,High Stress
72,2599,20.8,Relaxed
105,994,60.0,Moderate Stress
63,2887,23.1,Relaxed
81,2363,34.7,Normal
86,2238,46.2,Normal
61,3169,14.1,Relaxed
62,3272,15.9,Relaxed
112,817,68.0,Moderate Stress
89,1760,47.7,Mild Stress
68,3213,15.6,Relaxed
111,1187,59.7,Moderate Stress
57,3310,18.7,Relaxed
54,3200,9.6,Relaxed
64,3411,17.2,Relaxed
133,323,81.6,High Stress
99,1513,52.1,Moderate Stress
123,1131,65.1,Moderate Stress
84,3428,31.7,Normal
90,1663,51.6,Mild Stress
91,1935,35.3,Mild Stress
142,678,72.8,High Stress
102,1193,57.4,Moderate Stress
55,3727,1.3,Relaxed
77,2970,25.8,Normal
145,713,82.7,High Stress
115,979,65.9,Moderate Stress
148,452,89.1,High Stress
100,1675,53.3,Mild Stress
95,1630,51.8,Mild Stress
78,2219,34.4,Normal
74,3207,17.9,Normal
131,88,79.6,High Stress
62,2838,20.5,Relaxed
69,2414,29.8,Normal
90,1689,38.3,Mild Stress
73,2423,23.5,Normal
138,946,87.7,High Stress
119,1283,66.9,Moderate Stress
59,3418,15.2,Relaxed
65,3388,15.9,Relaxed
94,1596,46.9,Mild Stress
76,2804,27.4,Normal
79,2550,30.2,Normal
113,1105,65.3,Moderate Stress
114,1318,64.1,Moderate Stress
73,2471,29.2,Normal
119,731,69.7,High Stress
64,3034,12.8,Relaxed
83,1594,47.0,Mild Stress
122,1514,70.5,Moderate Stress
93,1555,43.5,Mild Stress
73,2406,34.1,Normal
60,3348,10.2,Relaxed
70,3844,9.7,Relaxed
88,2299,42.2,Mild Stress
73,2846,32.0,Normal
118,1459,69.9,Moderate Stress
92,1593,52.1,Mild Stress
75,2668,29.1,Normal
65,3762,14.7,Relaxed
117,632,75.0,High Stress
62,3967,10.2,Relaxed
130,754,72.6,High Stress
122,774,74.0,Moderate Stress
85,1177,50.7,Mild Stress
82,2356,34.1,Mild Stress
97,2096,43.0,Mild Stress
98,1712,50.5,Mild Stress
78,2178,42.3,Normal
92,2056,45.3,Mild Stress
141,517,83.2,High Stress
64,3042,16.0,Relaxed
88,2428,39.8,Normal
134,704,83.9,High Stress
67,2888,16.1,Relaxed
54,3206,8.8,Relaxed
147,413,90.1,High Stress
72,2152,32.4,Normal
94,2362,38.0,Mild Stress
97,1963,44.5,Mild Stress
90,1752,38.6,Mild Stress
90,2101,41.8,Mild Stress
105,719,62.4,Moderate Stress
69,3263,19.2,Relaxed
98,1908,46.3,Mild Stress
100,873,67.2,Moderate Stress
61,3175,15.0,Relaxed
99,1454,55.4,Mild Stress
68,2528,22.7,Normal
76,1514,38.1,Normal
78,2931,23.1,Normal
100,1368,54.1,Mild Stress
147,419,89.0,High Stress
54,3405,6.3,Relaxed
61,3315,9.1,Relaxed
93,1832,42.5,Mild Stress
102,873,54.1,Moderate Stress
133,844,73.6,High Stress
84,2264,39.4,Normal
115,826,65.5,High Stress
83,2056,31.9,Normal
101,1590,45.2,Mild Stress
85,1750,41.4,Mild Stress
104,1169,57.6,Moderate Stress
69,3861,19.6,Relaxed
83,2613,26.0,Normal
67,3292,18.6,Relaxed
71,2450,28.0,Normal
108,1516,60.5,Moderate Stress
100,1775,54.6,Mild Stress
112,816,63.5,Moderate Stress
90,2036,37.4,Mild Stress
124,1038,65.6,High Stress
132,613,81.5,High Stress
136,604,76.8,High Stress
93,1654,50.0,Mild Stress
94,1967,44.5,Mild Stress
71,3035,22.2,Relaxed
97,1770,53.0,Mild Stress
90,2191,41.7,Mild Stress
84,1536,43.9,Mild Stress
103,1357,56.3,Mild Stress
78,2051,37.5,Normal
63,2970,25.9,Relaxed
62,4048,6.0,Relaxed
142,563,86.1,High Stress
103,1217,58.6,Moderate Stress
83,2466,38.7,Normal
114,1569,65.0,Moderate Stress
104,1263,58.2,Moderate Stress
124,687,79.1,High Stress
61,3284,14.5,Relaxed
116,1058,67.4,Moderate Stress
65,2862,15.2,Relaxed
70,3829,7.2,Relaxed
62,3095,21.2,Relaxed
77,2425,29.7,Normal
63,3279,8.5,Relaxed
87,1711,42.3,Mild Stress
65,3705,16.0,Relaxed
114,836,64.3,Moderate Stress
51,3086,20.1,Relaxed
62,2970,10.7,Relaxed
76,3226,26.8,Normal
112,943,69.6,Moderate Stress
111,1163,63.4,Moderate Stress
112,1172,59.0,Moderate Stress
69,3634,12.6,Relaxed
133,1127,70.8,High Stress
71,2540,31.4,Normal
67,2745,22.4,Relaxed
71,2772,24.2,Normal
67,3577,22.3,Relaxed
87,2946,30.8,Normal
91,2097,47.0,Mild Stress
117,1066,63.9,Moderate Stress
94,2084,48.2,Mild Stress
79,2246,36.6,Normal
70,3288,19.8,Relaxed
61,2300,23.0,Relaxed
79,2569,26.4,Normal
99,2432,33.5,Mild Stress
55,3269,10.5,Relaxed
76,2986,19.7,Relaxed
136,847,74.9,High Stress
131,818,75.2,High Stress
115,881,69.3,Moderate Stress
81,2338,36.1,Normal
87,2346,36.9,Mild Stress
87,1680,41.6,Mild Stress
58,3272,14.2,Relaxed
121,545,80.9,High Stress
111,965,58.5,Moderate Stress
116,798,69.0,Moderate Stress
134,453,80.3,High Stress
81,1738,35.5,Mild Stress
73,2747,27.0,Normal
102,1071,61.5,Moderate Stress
60,4095,9.4,Relaxed
116,1101,58.6,Moderate Stress
112,1397,57.7,Moderate Stress
57,3245,8.4,Relaxed
112,1117,63.8,Moderate Stress
98,1500,52.5,Mild Stress
146,1085,78.9,High Stress
71,2591,27.7,Normal
93,1788,46.1,Mild Stress
80,2736,25.4,Normal
129,709,75.2,High Stress
118,453,77.5,High Stress
118,1176,70.9,Moderate Stress
117,1147,62.3,Moderate Stress
136,378,81.2,High Stress
111,1539,55.3,Moderate Stress
60,3359,7.4,Relaxed
104,1355,45.3,Moderate Stress
90,1599,45.5,Mild Stress
104,1337,66.6,Moderate Stress
63,3447,17.8,Relaxed
93,2210,38.4,Mild Stress
73,2977,24.1,Normal
140,776,86.9,High Stress
125,825,72.3,High Stress
147,627,86.0,High Stress
114,1655,57.9,Moderate Stress
131,619,83.8,High Stress
110,991,76.6,Moderate Stress
111,1544,54.5,Moderate Stress
85,1907,32.7,Mild Stress
72,2579,29.0,Normal
139,385,83.5,High Stress
105,1217,53.1,Moderate Stress
85,2635,30.6,Normal
96,2376,41.8,Mild Stress
111,1203,61.3,Moderate Stress
133,263,87.8,High Stress
115,1266,61.7,Moderate Stress
111,1531,62.4,Moderate Stress
85,2123,38.1,Mild Stress
64,3281,19.4,Relaxed
137,311,85.1,High Stress
67,2297,25.7,Normal
142,633,76.7,High Stress
105,982,65.5,Moderate Stress
112,989,59.2,Moderate Stress
83,2237,34.8,Normal
128,881,67.8,High Stress
85,2969,29.4,Normal
111,741,67.3,Moderate Stress
82,2196,38.6,Normal
104,1067,57.8,Moderate Stress
134,457,85.1,High Stress
89,1772,34.4,Mild Stress
60,3475,8.2,Relaxed
132,289,84.4,High Stress
107,1247,61.5,Moderate Stress
68,2760,23.1,Normal
89,2285,42.3,Mild Stress
131,367,67.3,High Stress
147,352,94.5,High Stress
75,2522,24.1,Normal
112,1544,53.4,Moderate Stress
98,1507,47.6,Mild Stress
78,2956,19.6,Normal
82,2113,30.3,Normal
60,3862,0.0,Relaxed
140,224,96.5,High Stress
88,3163,32.1,Normal
137,706,78.7,High Stress
128,540,74.1,High Stress
111,1383,53.3,Moderate Stress
69,3953,13.4,Relaxed
100,1380,51.7,Mild Stress
124,829,69.9,High Stress
137,354,85.2,High Stress
59,4095,8.5,Relaxed
139,749,78.3,High Stress
79,2423,32.2,Normal
59,3622,10.6,Relaxed
137,1256,81.3,High Stress
85,2061,35.8,Mild Stress
82,2187,33.6,Normal
63,3638,12.5,Relaxed
63,3128,8.5,Relaxed
78,2747,27.1,Normal
76,2462,32.6,Normal
102,919,62.1,Moderate Stress
61,3514,9.2,Relaxed
107,951,72.7,Moderate Stress
135,626,83.1,High Stress
127,218,82.0,High Stress
70,2801,26.9,Normal
87,2226,35.4,Normal
79,2555,31.4,Normal
64,3896,7.4,Relaxed
81,3026,23.1,Normal
60,3304,18.0,Relaxed
59,3496,9.1,Relaxed
114,1131,63.2,Moderate Stress
98,1777,52.5,Mild Stress
61,3128,15.0,Relaxed
73,3143,21.4,Normal
142,741,71.7,High Stress
144,1075,78.0,High Stress
103,1480,54.5,Moderate Stress
113,1069,77.1,Moderate Stress
118,947,68.8,Moderate Stress
91,2337,38.3,Mild Stress
96,1703,52.6,Mild Stress
137,470,81.6,High Stress
101,1095,61.6,Moderate Stress
108,935,57.2,Moderate Stress
153,372,88.4,High Stress
60,2767,14.4,Relaxed
138,383,89.9,High Stress
105,938,63.8,Moderate Stress
56,3534,15.0,Relaxed
137,921,78.8,High Stress
95,2065,38.6,Mild Stress
64,2794,23.5,Relaxed
86,1479,46.7,Mild Stress
113,984,61.5,Moderate Stress
53,3320,5.2,Relaxed
79,2494,31.7,Normal
72,2694,35.2,Normal
75,3775,16.7,Normal
60,3436,8.4,Relaxed
114,1220,61.8,Moderate Stress
81,3022,30.7,Normal
90,1724,46.2,Mild Stress
82,1768,48.3,Mild Stress
59,3134,12.6,Relaxed
108,961,60.4,Moderate Stress
107,755,67.8,Moderate Stress
62,2843,21.5,Relaxed
115,1204,61.5,Moderate Stress
64,3451,11.3,Relaxed
78,2500,32.9,Normal
59,3002,18.9,Relaxed
82,3066,30.8,Normal
104,1339,56.0,Moderate Stress
112,970,68.8,Moderate Stress
80,2740,30.0,Normal
137,641,75.6,High Stress
110,1629,59.3,Moderate Stress
94,1410,45.9,Mild Stress
61,2925,13.1,Relaxed
83,2807,29.8,Normal
113,1128,65.8,Moderate Stress
132,315,80.1,High Stress
140,407,88.1,High Stress
66,3684,22.4,Relaxed
90,2217,38.5,Mild Stress
124,719,77.4,High Stress
135,454,87.1,High Stress
116,850,64.0,High Stress
136,427,83.4,High Stress
58,3212,11.6,Relaxed
90,1638,42.8,Mild Stress
74,2780,28.1,Normal
95,1446,46.0,Mild Stress
61,2951,8.3,Relaxed
77,2779,28.0,Normal
97,1480,61.0,Mild Stress
62,3229,17.2,Relaxed
138,694,82.9,High Stress
133,375,81.3,High Stress
116,600,65.4,Moderate Stress
96,1835,50.4,Mild Stress
140,740,78.4,High Stress
130,985,72.5,High Stress
87,1722,44.7,Mild Stress
66,3589,19.7,Relaxed
102,981,59.9,Moderate Stress
107,1559,51.4,Moderate Stress
141,350,93.9,High Stress
77,2756,17.7,Normal
68,3521,15.3,Relaxed
140,734,82.4,High Stress
115,1104,69.1,Moderate Stress
78,3194,24.9,Normal
125,1470,72.5,Moderate Stress
57,3478,12.4,Relaxed
71,2431,23.2,Normal
109,2024,48.2,Moderate Stress
114,1104,62.2,Moderate Stress
74,3234,24.3,Normal
58,3784,4.5,Relaxed
104,985,67.3,Moderate Stress
87,2568,36.3,Mild Stress
135,623,77.0,High Stress
59,3083,13.8,Relaxed
63,3477,20.9,Relaxed
98,1966,46.5,Mild Stress
89,2229,42.6,Mild Stress
141,605,84.1,High Stress
66,3071,16.2,Relaxed
105,677,66.3,Moderate Stress
76,2660,32.1,Normal
135,507,77.6,High Stress
125,625,75.7,High Stress
63,3084,14.7,Relaxed
60,3262,17.4,Relaxed
105,1103,53.8,Moderate Stress
58,3722,3.7,Relaxed
88,2162,38.3,Mild Stress
59,3726,16.9,Relaxed
112,969,64.2,Moderate Stress
129,1141,68.2,High Stress
124,575,77.0,High Stress
97,1783,50.7,Mild Stress
70,2963,21.2,Relaxed
61,3206,6.3,Relaxed
62,3837,11.5,Relaxed
141,889,77.2,High Stress
99,1399,54.3,Mild Stress
109,952,63.0,Moderate Stress
147,647,83.1,High Stress
136,888,80.0,High Stress
99,1657,51.1,Moderate Stress
66,3391,18.2,Relaxed
90,2090,41.4,Mild Stress
87,1698,46.1,Mild Stress
138,626,82.5,High Stress
111,1164,60.7,Moderate Stress
108,937,59.7,Moderate Stress
76,3049,29.4,Normal
76,2434,30.3,Normal
107,1301,63.3,Moderate Stress
140,899,79.1,High Stress
64,3249,16.7,Relaxed
77,2659,35.1,Normal
91,1875,39.4,Mild Stress
94,1825,43.1,Mild Stress
70,3880,10.5,Normal
89,2081,43.9,Mild Stress
81,2263,30.8,Normal
82,2885,24.9,Normal
66,3063,17.4,Relaxed
106,1034,62.2,Moderate Stress
116,1262,62.3,Moderate Stress
62,3674,9.2,Relaxed
72,3085,20.2,Relaxed
84,2390,34.5,Normal
116,1661,62.4,Moderate Stress
97,1526,51.0,Mild Stress
91,2090,42.8,Mild Stress
129,813,71.5,High Stress
97,1614,53.1,Mild Stress
129,287,75.3,High Stress
102,2605,41.5,Mild Stress
108,999,63.1,Moderate Stress
72,2641,32.7,Normal
108,1140,56.2,Moderate Stress
72,2388,27.4,Normal
91,1065,50.7,Mild Stress
86,2857,38.6,Normal
132,51,80.7,High Stress
66,3199,25.8,Relaxed
128,579,70.4,High Stress
73,2320,26.3,Normal
59,3606,14.2,Relaxed
118,1208,71.4,Moderate Stress
122,546,72.3,High Stress
86,2695,33.7,Normal
90,1447,42.7,Mild Stress
74,2564,26.1,Normal
92,1509,47.1,Mild Stress
80,3119,25.7,Normal
95,1843,44.3,Mild Stress
107,1649,55.3,Moderate Stress
110,1029,64.9,Moderate Stress
122,423,71.4,High Stress
56,3632,3.9,Relaxed
128,793,74.6,High Stress
57,3105,19.4,Relaxed
68,2275,28.6,Normal
77,3044,21.9,Normal
89,2868,30.2,Normal
112,770,68.7,Moderate Stress
109,1300,60.2,Moderate Stress
89,2287,34.9,Mild Stress
104,1279,58.3,Moderate Stress
136,368,84.6,High Stress
97,784,61.2,Mild Stress
56,2980,16.0,Relaxed
128,0,79.6,High Stress
107,821,63.1,Moderate Stress
123,726,71.4,High Stress
93,2165,43.6,Mild Stress
69,2650,22.9,Normal
64,3197,17.3,Relaxed
79,2199,34.6,Normal
113,1297,58.4,Moderate Stress
109,1284,64.8,Moderate Stress
142,288,88.2,High Stress
78,2772,28.8,Normal
69,2666,26.8,Relaxed
125,605,74.5,High Stress
109,1042,52.4,Moderate Stress
98,2353,44.0,Mild Stress
134,457,80.1,High Stress
60,3545,8.5,Relaxed
80,1620,34.8,Mild Stress
94,1907,46.5,Mild Stress
133,642,72.5,High Stress
64,3677,13.9,Relaxed
77,2264,32.7,Normal
59,3397,10.6,Relaxed
63,3287,12.8,Relaxed
134,820,78.5,High Stress
85,2045,40.6,Mild Stress
148,775,89.3,High Stress
149,592,90.9,High Stress
120,650,74.9,High Stress
66,2705,20.8,Normal
56,3445,4.7,Relaxed
69,3138,24.0,Normal
113,1346,60.2,Moderate Stress
92,1294,51.1,Mild Stress
60,3005,24.5,Relaxed
80,2418,34.5,Normal
54,3469,6.5,Relaxed
119,763,63.8,High Stress
97,1857,51.0,Mild Stress
110,973,60.1,Moderate Stress
106,1135,59.2,Moderate Stress
94,1573,44.4,Mild Stress
145,694,90.0,High Stress
109,1513,56.2,Moderate Stress
101,2062,50.0,Mild Stress
62,3049,18.2,Relaxed
89,1557,52.4,Mild Stress
97,1906,46.0,Mild Stress
142,874,85.2,High Stress
87,2570,39.6,Mild Stress
65,2941,19.2,Relaxed
67,3487,10.0,Relaxed
136,596,78.4,High Stress
110,1720,50.8,Moderate Stress
86,1330,47.2,Mild Stress
107,1202,59.2,Moderate Stress
75,2442,30.4,Normal
71,2963,24.1,Normal
79,2189,37.4,Normal
76,2939,27.7,Normal
77,2045,37.4,Normal
92,879,47.2,Mild Stress
111,1192,56.3,Moderate Stress
58,3518,1.1,Relaxed
78,2215,34.4,Normal
147,935,74.2,High Stress
117,994,70.6,Moderate Stress
50,3591,7.1,Relaxed
137,704,76.6,High Stress
107,1223,60.0,Moderate Stress
142,411,85.8,High Stress
112,1121,60.8,Moderate Stress
93,2236,37.3,Mild Stress
130,620,80.8,High Stress
113,1473,58.9,Moderate Stress
100,2319,43.3,Mild Stress
103,1322,49.3,Moderate Stress
108,1476,59.3,Moderate Stress
117,1171,65.0,Moderate Stress
65,3757,14.0,Relaxed
110,1106,62.2,Moderate Stress
137,918,83.5,High Stress
90,2205,39.0,Mild Stress
135,628,76.8,High Stress
65,2903,15.3,Relaxed
92,2389,42.9,Mild Stress
61,3194,12.9,Relaxed
108,990,63.3,Moderate Stress
120,787,72.3,High Stress
65,2826,20.0,Relaxed
77,2815,21.7,Normal
94,2651,35.8,Mild Stress
95,1555,48.4,Mild Stress
113,1448,58.7,Moderate Stress
91,1436,50.2,Mild Stress
101,815,60.6,Moderate Stress
125,67,89.4,High Stress
139,687,79.0,High Stress
58,3290,13.9,Relaxed
132,986,83.8,High Stress
72,2410,27.7,Normal
82,2922,26.8,Normal
67,3015,19.1,Relaxed
128,791,78.0,High Stress
117,1550,63.1,Moderate Stress
109,1049,60.4,Moderate Stress
133,277,88.0,High Stress
60,3445,17.4,Relaxed
85,2660,39.8,Normal
64,3133,22.7,Relaxed
123,828,71.1,High Stress
68,2550,27.6,Normal
54,2750,18.8,Relaxed
91,1810,47.6,Mild Stress
63,3325,17.3,Relaxed
137,319,90.7,High Stress
111,891,70.0,Moderate Stress
56,3542,2.8,Relaxed
143,456,88.3,High Stress
97,2019,56.3,Mild Stress
144,1186,83.8,High Stress
140,565,87.1,High Stress
